BusinessID,Cuisine,Rating,NumberOfReviews
objNX6cuj1JyUijFjw21Qw,"['Indian', 'Cocktail Bars']",4.5,105
1TLoaB7SXJZo3W5f4OGm8w,"['Indian', 'Vegan', 'Pakistani']",4.0,295
NVCLcLa_7LMEJipAQmNlZw,['Indian'],4.0,175
_nScWpFX3M1K7s30hFEsRw,"['Indian', 'Salad', 'Gluten-Free']",4.0,318
t_tWuzMEsoD9GDgAm_0l7g,['Indian'],3.5,370
BPyt7S9TdcR1u571iacg7g,"['Indian', 'Halal']",4.0,1427
JCFEtB6jJXbOMJ7_ZUpD3g,"['Indian', 'Buffets']",3.5,114
Va_mnsEvBghHXvc7uZIWJQ,"['Indian', 'Chinese', 'Salad']",4.0,553
t6PzD4uzBOfyCLcd_lT8cQ,"['Indian', 'Himalayan/Nepalese']",4.5,24
DZE4ThXa7d0kSXnR3Hb-kg,"['Indian', 'Desserts', 'Wine Bars']",3.5,1346
qhXIW0LDT4XsoN2IE6dZHg,"['Indian', 'Vegetarian', 'Kosher']",4.5,71
yV7brOiTLS3Lmwws8e3nXA,"['Indian', 'Vegetarian']",4.5,177
lxNU-aBq0yPwBDx-i89ahA,['Indian'],4.5,1115
jzO5HyrTtumHpe-pbUlndQ,['Indian'],3.5,185
uucP1LoFyamFS0qDwgMXbg,"['Indian', 'Desserts']",4.0,347
iGIr7N3UlcidQ0FlPBSK4A,['Indian'],3.5,86
OCBvpZwdnTh5rL9vtCkwhw,['Indian'],4.5,52
D_xGTuIZqh1g6ie9QybcYw,"['Indian', 'Soup', 'Seafood']",4.0,101
mZALre3ahuetu5X8_uUJew,['Indian'],4.0,442
xeIhR9gx0OsTdoQ0mmEUsA,"['Indian', 'Cocktail Bars']",4.0,228
SP4bvMvxel_UPdof_er3HA,"['Indian', 'Tacos']",4.5,449
VC1udoc_sbHdFaBr0-bMsA,['Indian'],4.0,46
l_Td-NFRIdxu7m6pgJUqhQ,['Indian'],3.5,80
jf3JRaxUYU93x8LFU-8gkA,"['Indian', 'Cocktail Bars', 'Breakfast & Brunch']",4.0,136
m9Q9x-Hcxp24gZCaTTJY-A,"['Indian', 'Buffets']",4.0,158
jb-Fe1cC3ZARF9xyFvJQYQ,['Indian'],3.5,152
S8a--JIL9yEaU-D1yucI9Q,['Indian'],4.0,333
w2-VGvlBCMYo9ko8Y_PzAw,"['Indian', 'Bars']",4.5,88
LWghzX6Vsw1ytEFP6lA8oA,['Indian'],3.5,195
3hlAeWgSKAnSQ1tg8k8D8g,"['Indian', 'Gluten-Free', 'Vegan']",4.0,192
uy7QmtN9Sdb8z5hm2_VZSQ,"['Indian', 'Bars', 'Bakeries']",3.5,295
dxK7_NNqLDYG39VGZI9B3w,['Indian'],3.5,14
ciIoPi0WqaNyB6xkwRKxzA,['Indian'],3.5,107
9y6UQ2GYKe08-WF_1jTX0A,['Indian'],4.0,181
3uEkZEAp7biQEtt0S7W1Vg,"['Indian', 'Vegetarian']",4.0,574
Y2I946V78wOdwaUD9chmqg,['Indian'],4.0,355
Csg_qjYzhQxKAinj814AKw,"['Indian', 'Halal', 'Buffets']",4.0,25
tN37MOvqzrmpU0h0PfoDmw,"['Indian', 'Vegetarian', 'Buffets']",3.5,459
HGNqWrRYJNyhJSS8yia8HQ,['Indian'],3.5,330
jG3XHl8Bkw5KEwAI93ciVw,"['Indian', 'Soup', 'Seafood']",3.5,465
uqBBk5o9McSEYQ88CG6yHg,['Indian'],4.0,82
9x95RpLEIDRWG2Y9w4qz4Q,['Indian'],4.0,69
HVWlYTXsR9Vx9ZoxJQa2zg,"['Indian', 'Vegetarian', 'Seafood']",4.5,55
nd0uXNXaeaDMuMk4C1GusA,"['Indian', 'Buffets', 'Vegetarian']",3.5,525
B0IXsKwCk21hNQffYPJmHA,"['Indian', 'Breakfast & Brunch', 'Vegan']",3.5,187
h0Z2RZBZbiqS-Yw22WyTaQ,"['Indian', 'Diners', 'Vegetarian']",3.5,159
WWpOWqOgS9ClYvxYVzR0lg,"['Indian', 'Vegetarian']",4.5,277
Q7wFlNr4OFU0eCJXcOmopg,['Indian'],3.5,178
XgqIDfU6tKPUdRxRG5uDNw,"['Indian', 'Bubble Tea', 'Breakfast & Brunch']",3.5,101
IRRhwACUiMaqkBVAZiCzeg,"['Indian', 'Salad', 'Sandwiches']",4.0,83
4Kv4EVmrQ8TdlSD7MW0wHg,['Indian'],3.5,169
PdzL9svqapSqH4o8bF86Pw,"['Indian', 'Grocery', 'Delis']",4.5,370
zi4fUgOwwGB5PYR2xq0OCQ,['Indian'],4.0,246
NhBUzlITbu3rdjm9UEfWsw,['Indian'],4.0,209
RkPakW9XloEm-QB0eNlHmw,['Indian'],4.5,47
EPHhPGDFvnq2ARTBxAikuw,"['Indian', 'Bangladeshi']",3.5,493
5faOK0osoS-zdEwT21S-Cg,['Indian'],3.0,292
G4Y3yF4UfcCNSj0JFQQVDw,"['Indian', 'Vegetarian', 'Gluten-Free']",3.5,104
ogEtpbCgxv38PyB3ebivqQ,['Indian'],4.5,360
Ez1WypSZf-X-5vlTxeR0mA,['Indian'],4.0,19
RRg3P3NsYzutXn5M6mluxw,"['Indian', 'Middle Eastern', 'Pakistani']",3.5,45
Xl-zlT0NLLiKhym88em22w,"['Indian', 'Halal']",4.5,152
4x4M_p_b8GvLkc4fe00GHA,"['Indian', 'Food Stands', 'Bangladeshi']",4.0,151
ar2ERFxW_GN76Xd8H0CtCQ,['Indian'],3.5,187
7k2uvrFxOoBwV7c2m0UBNw,"['Indian', 'Pakistani']",3.5,217
nQfPwIasXCi8NwNKq65vfw,"['Indian', 'Food Trucks']",4.5,104
hKKDfUPcDX_c-RCWBMOr1w,['Indian'],4.0,368
5z7OuOWuZRu6byp2XDKbQw,"['Indian', 'Vegetarian']",3.5,834
OD1CCNpXwUvXB9P6WkTy9A,['Indian'],3.5,155
eTe0fY7PUIKuxgSdxgkD_A,['Indian'],4.0,186
Rk6TXh7nINbzJoGtI2C5cA,['Indian'],3.5,74
niivJKBqY5wToDukqZHetQ,['Indian'],4.0,562
DOdbSGm9ULZlVz-1-Jjhmg,['Indian'],3.5,506
sng5ejEyAA22ncDwxdu2lw,['Indian'],3.5,137
YM5AbOOg-TjuHJrQmfd0Hw,['Indian'],3.5,288
yauWDobtVPplAiACo1JuYA,"['Indian', 'Halal']",4.0,79
MzIUB4_G9TemKsPZJkelIw,['Indian'],3.0,326
gsZUN1Vtpd3P7rdvANbrmg,['Indian'],4.0,160
1SgiWHlFN5mp5gNLSGx2Ww,['Indian'],3.0,969
pgGT9m03pNI15Ag2pAdY1Q,"['Indian', 'Wine Bars', 'Cocktail Bars']",4.5,298
bFUVp77ApNkACqXvgiekPQ,['Indian'],3.5,661
aM4h2RwyHyngSDehB_qq3g,['Indian'],3.5,169
9lKYC8qs6owmBazkVR5XDA,['Indian'],3.5,307
x3NeZ4xToUxVKDoZ32D5tg,"['Indian', 'Food Stands', 'Vegetarian']",4.5,379
AlfkFxfD-cUBGA3Eq3j0Uw,"['Indian', 'Desserts', 'Seafood']",4.0,249
UnFe6mLcCdHVyyDxnIBkAA,"['Indian', 'Gluten-Free', 'Salad']",4.0,89
sQ_L8O9WMU4apxSTVa9JKg,['Indian'],3.5,140
wQjQHZKH_DxwntbSe1QdxQ,['Indian'],3.5,965
8vYGvXF4OyKv2KV0-iIxrA,"['Indian', 'Vegetarian']",4.5,232
MotfuoOFiEmOKOcRCnRhdA,"['Delis', 'Indian', 'Pakistani']",4.0,157
dOsIIVVfgiDevGZLWaPnTg,['Indian'],3.5,112
ItocvsIyniVxMARBkHZaoA,['Indian'],4.0,33
ggLd3EdBQxHK7IQHnY_hhg,['Indian'],4.0,67
HsEmXckXmsRAAEVDFCGYYg,"['Indian', 'Halal', 'Buffets']",4.0,488
7-mcmUETyMifs3rbpvCObA,"['Indian', 'Desserts', 'Kebab']",4.0,32
llzZ19xTIrueN5XBZi4zWg,"['Food Trucks', 'Indian']",4.0,47
yx8cpBwPttpdBvm4V1EawQ,['Indian'],3.5,176
lIE4KHySIenwPbta1JuM8Q,['Indian'],4.5,155
-mQG7oEHSAMr9dBDrrqI2g,['Indian'],3.5,112
gHw2LnjgqyJclvlOjISv6g,['Indian'],3.5,25
yPWE_stCrD48WZ-xaxfz_A,"['Indian', 'Vegetarian', 'Vegan']",4.5,53
0s8rxDQhglhh28BLz-80qw,"['Indian', 'Street Vendors']",5.0,2
1KGvtMU7VBcdlvxo2brdQg,['Indian'],4.0,233
WkN7pVHWEXpHJrIS1ohXUA,"['Indian', 'Halal']",4.0,141
kB3QyyhHFVyhGgp35Rnuew,"['Indian', 'Halal']",4.0,841
FZ0fKxW-d6Qc70IjDQIQKA,"['Pakistani', 'Indian', 'Food Trucks']",4.5,13
bgMbt6XbOaAu5VNXr5kCdQ,['Indian'],4.0,200
XUataECnaOfdo4a87NqEFg,"['Indian', 'Vegetarian']",4.0,485
JvV8sTgUX6abRQPzb3hLgg,['Indian'],3.5,106
gWuHmSQ8G5FiKv-rEogwvA,"['Indian', 'Vegetarian']",3.5,423
ZkpKRf_AenlKegg2-NSA3g,"['Indian', 'Bangladeshi']",3.0,214
NztBFASX-zzg0tROoLiKOg,"['Indian', 'Food Trucks']",4.5,51
NH7Ws65ZwlmOosiblfGTRw,['Indian'],3.0,56
_RVeBqIldnrh757oxL-b7w,['Indian'],3.0,149
MfHEjRvZVplBVQyLC4wQOg,"['Mexican', 'Coffee & Tea', 'Indian']",4.5,25
U3hvDT5CtQrnpg2zhJg3mQ,"['Halal', 'Pakistani', 'Indian']",3.5,172
fjjzAn0j6zCs2SNViuNfwQ,"['Indian', 'Vegetarian']",3.5,264
dZENEWBMFMIbqIBGtlUwsQ,"['Indian', 'Halal', 'Wraps']",4.0,75
nBoOm-TAhRvbcDkHfKOwGg,['Indian'],3.0,101
S3dtt6qNyYfdF-I4rZTbXw,"['Indian', 'Persian/Iranian', 'Vegetarian']",3.5,20
o5sUOmtzcHAeSWtUuFJ00g,['Indian'],3.0,287
aczqK-esIyqhyk7QLqcc1A,"['Indian', 'Music Venues', 'Beer Bar']",3.5,241
6KOeVK9KMmVG6Q3chyZ_Bg,"['Indian', 'Bangladeshi', 'Halal']",4.5,147
KbCLZOKvPdNY7ptAg0kGxw,"['Indian', 'Halal']",3.5,312
ZqOxAKVZEZTa4XS4zthp3Q,['Indian'],4.5,169
zDiKwE9LPwWo9k2kdwMEZw,['Indian'],3.5,226
EgxnURDBkeKXV9rKzHrJLA,"['Indian', 'Bars', 'Buffets']",3.5,118
zSCp9pjEQ_M3LBuPRDo-Bg,['Indian'],4.0,288
YDtIHtfvWd4W36wq6UAjoA,['Indian'],4.5,214
LQvI-JYji1jO5wySb8KZiw,['Indian'],3.5,47
lIXVm16VchbDXOf7v4hxMA,"['Indian', 'Pakistani', 'Halal']",3.5,286
iXrKGRzIZK0pp31mO3nBzA,"['Indian', 'Himalayan/Nepalese']",4.5,113
Gxlxu7Rug2tM_V7sS4x6fQ,"['Indian', 'Diners', 'Buffets']",4.5,5
BXoW0AUDE7WZJcY-Vhqlbg,"['Indian', 'Vegetarian']",4.0,83
yDS7SUTAe6y3BYKdepIrbg,"['Asian Fusion', 'Chinese', 'Indian']",3.5,168
GELFb5_zjbWmca45jxzHZg,"['Indian', 'Chinese']",5.0,1
FZQ-l92qE1NqpI5lbmAM_g,"['Indian', 'Street Vendors']",3.5,11
uVRau5cd-OpqWIA-qsCiJA,['Indian'],4.0,73
EKY8DwZVWpkgv6IWrepbWg,"['Indian', 'Halal', 'Buffets']",4.0,172
L9n68f-cdk7RMQvRJvC6bA,"['Indian', 'Himalayan/Nepalese']",4.5,167
vS5WZNErrgWvHtiO3CTmqA,"['Indian', 'Pakistani', 'Halal']",3.5,26
h1PXV90jW1bXIWVlKiF0NQ,"['Indian', 'Mexican', 'Halal']",4.0,68
ik7LcD1fkzVbVQ6Sntd4LA,['Indian'],4.0,143
Yj8Tpy8tVf-fpct6_EUIhQ,"['Indian', 'Pakistani', 'Bangladeshi']",4.0,6
Na55QhymZh3cje8Ac2vCvg,"['Indian', 'Vegetarian']",4.0,146
ml3ASw5_B5XLnd9kE8xx3g,"['Indian', 'Spanish', 'Pakistani']",2.5,87
eht_0com4C1sQbl9qCzlag,"['Indian', 'Salad', 'Soup']",4.5,178
K7u5sEQW1LcIJxjpUS1STg,['Indian'],5.0,1
GVaTZnN7a-DkrK57l7BbGw,"['Indian', 'Bangladeshi', 'Halal']",4.0,63
CPBVjdezPyeBTxW1q6R1Zg,['Indian'],3.5,37
trkn76h8vQeB8kCUgHJyuw,['Indian'],3.5,8
YMtQ5NZY3WUn3tetby6Uog,"['Persian/Iranian', 'Halal']",4.5,285
CpsnurlPqkUBWwqO69xS7A,"['Indian', 'Pakistani']",3.5,4
ATrDmKiZ-YrAcG3hR7LLgg,['Indian'],3.5,100
kQMXY2fshQFGdP8lwDMM6g,"['Indian', 'Buffets']",4.0,174
Pv51B3SzP4OqUbJncEeF1g,['Indian'],3.5,178
17hj-J-E7UFki3Brshu0lQ,['Indian'],4.0,58
IPObt34MFs_Icr83NE7RFQ,"['Indian', 'Pakistani', 'Halal']",3.0,43
CX6_T61ZANH5ttfMLeKKIA,"['Indian', 'Halal', 'Wraps']",3.0,20
vnf1WSV7dTmOeOkIJ46hiw,"['Indian', 'Halal', 'Pakistani']",3.0,45
ODpSYoZ8fkaX3UaDzBLhsg,['Indian'],4.0,176
-MXQI-AjTJViEekzs_5_8A,"['Indian', 'Bars']",4.5,52
TTwPVEHeSeyFMLF6cik8Lw,['Indian'],3.0,197
noBCTbD1Ylf5QR7PXy-rkA,['Himalayan/Nepalese'],4.0,578
O5MN8tijDGzJS8uin9zQ2Q,['Indian'],3.5,182
NzU2hb0z0jGEOOv0-zTLEQ,['Sri Lankan'],4.0,573
Nt7vyXyaxnyXpP4NNgrSvw,"['Indian', 'Desserts', 'Soup']",4.0,638
Yf4SjE9tfd1ASaT3xtwYzQ,['Indian'],4.5,5
aaVV388ojMgIayC3cVIEVg,['Indian'],4.0,185
yLcJTiE4n_w4sZwSfMZYZA,"['Kebab', 'Indian']",4.0,70
gc5VOvoqzM8UQJwV1mhdkA,['Indian'],3.5,285
7eUoHxFCZKdYkl7ONixCKA,"['Indian', 'Himalayan/Nepalese', 'Beer Bar']",4.0,193
1ckkPS7KtGSu_xXXWKcbvQ,['Indian'],4.0,157
JCewNUA2d-CHcVwz8ZbqlA,"['Kebab', 'Mediterranean', 'Halal']",4.5,214
HM7Mz6Hpxts58JJP7qELNQ,['Indian'],4.0,263
3C6c_zqRz_U2AyeN_7LTsg,"['Himalayan/Nepalese', 'Indian']",4.0,578
zy5MD9rhrPaZkCM1d1vmrg,['Indian'],3.0,54
_Hig4rf_SEAhq13eBdJ4CQ,['Indian'],3.5,328
Rr55bXbJcfdm4lIf-1f0Qw,"['Indian', 'Middle Eastern', 'Street Vendors']",4.0,240
XBZkwp9lNsZfjD3ejBE7Yw,"['Halal', 'Pakistani']",5.0,1
WrMu2G5M2im56uYKTd4Bgw,"['Indian', 'Pakistani', 'Bangladeshi']",3.0,453
AJjQwst3ppWZ9BCfk-tQPA,['Indian'],4.0,1
dGE1Imqoz1vdHa2cjfvO1w,['Indian'],4.0,348
QHZxlt8nFqycBrxxizwKmA,['Indian'],4.0,91
HY7Hx-z5lq1vAacDwYBfoA,"['Indian', 'Desserts', 'Pakistani']",4.5,64
PEEw2ip9VrmiMBP4b6op_g,"['Vegetarian', 'Vegan', 'Indian']",4.5,162
vksCRTDJO6ZrM_JFRxnG9w,"['Indian', 'Pakistani']",3.5,4
hfCU-GH8GP6vjAknXUyhKQ,['Indian'],4.0,64
KJNXC2NtxRPeu_nkk1PC4A,"['Himalayan/Nepalese', 'Indian']",4.0,64
oSMFe-10TyH40NIXG0Zahw,"['Indian', 'Chinese', 'Halal']",3.5,386
iAW1UTfP8jL_vpwRh93VcA,['Indian'],3.5,62
e0HGXP2YlFtpgF6hy9dVdA,"['Indian', 'Chinese', 'Thai']",3.5,80
3lzpz9U3xLuiBsefmxMzYQ,['Indian'],4.0,196
UtknyDJ_DPut-FKRqs0wpQ,"['Halal', 'Food Trucks', 'Street Vendors']",5.0,246
k1XZsff99d2JyX_jLwCaAA,"['Indian', 'Halal']",4.0,317
EVaeiIE_p0m2LkeG6rhh2g,['Indian'],5.0,1
SB4t6vWpxlVQAfCQ3oC1BQ,"['Indian', 'Halal']",3.5,248
MP8Ey2ezsDCSowR-1X6hKg,"['Indian', 'Vegetarian', 'Vegan']",3.5,200
80u4xIY1kp_25AUh9BW0Bw,"['Indian', 'Vegan']",3.5,119
BxB7lV381jp5pmosnIBpGA,['Sri Lankan'],4.5,259
-km0gGCxrhcvD62mlDvV4w,"['Vegetarian', 'Desserts', 'Vegan']",4.0,151
PwK_4LPh7yQ2VcIGKNKLNw,['Indian'],3.0,12
WSesw7dMYKmF3XHqD0K0WQ,['Indian'],3.0,243
0_ONgLkWOmGnjhCecpZPYQ,['Indian'],3.5,57
x31Xmdw1ekbG-TdD8hT0_w,"['Indian', 'Halal']",2.5,215
HsEK7jGmzI7KP1e0N_6uQw,"['Indian', 'Food Trucks']",5.0,29
Z2qZSs6oVJQFSc44tytAHg,"['Indian', 'Halal', 'Vegetarian']",4.0,111
iU0McmYWdsnD-NKRUZXhQQ,['Indian'],3.5,36
bgKGT3osx4KNjrdva4lYpQ,"['Indian', 'Halal']",4.0,85
AtPhAHLLdmro_p6FP61qtw,"['Indian', 'Bangladeshi', 'Pakistani']",3.5,17
cJfbydHniqWsGL2VHVDHEg,"['Indian', 'Halal', 'Beer, Wine & Spirits']",4.0,209
aFhnb8k6H-wD070vvxt4Fw,"['Indian', 'Pakistani', 'Bangladeshi']",4.0,146
IDEq8v88W58i2QZuNFjl-w,['Indian'],3.5,182
IpiGGEXxz-5QVJpijXVmmA,['Indian'],3.5,593
UFRW4RurzgXnn3eeZXLjJQ,['Indian'],3.5,3
Xzc4Ex6Vx4T-RBc3N9fW5g,['Indian'],3.5,58
iSiOfm9CdUhbS0eDHPHUNA,"['Indian', 'Food Trucks']",3.5,69
OxQ1lGq3uzl8_fgW67rXdQ,"['Indian', 'Vegetarian']",4.0,176
L3PwWn54PvHm5Rd4oUg7xw,"['African', 'Halal']",4.5,69
tXZOJhUUknjTRRo9j4ckZg,"['Uzbek', 'Russian', 'Halal']",4.5,141
GbBmq42FMVX5dOteBm9mvw,['Indian'],4.0,1
dJmC6GmMgX3VLSdaLhcJdg,"['Indian', 'Buffets']",3.5,203
zGa3GrjdAQLm2l40SPD8CA,['Indian'],4.5,3
u7sK1-iVkY5wLY3sOe2i2w,"['Halal', 'Indian']",4.5,31
NqnCmOlPIJ_QBQzvZ28djA,"['Indian', 'Vegetarian']",3.5,401
maXkjUEZGWrKF7BFrrUUXQ,"['Indian', 'Halal']",4.0,237
aLnt6DwRxlSm8xD9nuEEmA,"['Indian', 'Halal']",4.0,49
QqhZ92fhT70QF6cgzRZ54Q,['Indian'],4.0,46
T5aGLWBjIZoV0pSW80nJXA,"['Indian', 'Buffets', 'Caterers']",3.5,291
3Wu7lGDEwuP-5OW1rdg0OQ,"['Halal', 'Mediterranean', 'Middle Eastern']",4.0,151
VakC43fJQAT5c6f3rqPlOw,"['Indian', 'Food Stands']",3.5,25
bB74yGzEa3N3k4YYU2rcXQ,"['Bangladeshi', 'Indian', 'Street Vendors']",5.0,17
BNdEbtO1rjCulgqK3zDnyQ,['Indian'],3.5,151
oWmHgBlcY9yNgjUo7mNX4Q,['Indian'],3.5,4
SP-WFoCXb_uUTy0Kg1G03Q,"['Indian', 'Burgers', 'American (New)']",4.0,245
KXD44wWmrGf7mzyyr0bikw,['Vegetarian'],4.0,284
nqGp208f_wdqoLfNQgn_Ig,"['Bangladeshi', 'Indian', 'Halal']",4.0,102
Y6Q4uhE-GsP2iykSW9oJPw,['Indian'],5.0,4
IFZ3_d01uflGixWrrD8_gg,"['Afghan', 'Halal', 'Kebab']",4.0,454
K9t9xqhbLIePem5Okb3J9Q,['Indian'],4.0,25
mc9lvusD4Na-KXT2z4ulzQ,"['Indian', 'Vegetarian']",4.5,199
5lB2jlIeaEE-xoQ7fKygSw,"['Indian', 'Desserts', 'Seafood']",4.0,55
shNn0uGXQBD7wEIhbtzeIg,['Indian'],2.5,2
2FFkYc6LbRanDbOwKumLEw,['Indian'],4.0,1
jQD0E2iEhPmNqkEs-3QUwQ,"['Indian', 'Fast Food', 'Pakistani']",3.0,68
WdaLydR9O57rWbTnQQQ1OQ,"['Indian', 'Bangladeshi', 'Breakfast & Brunch']",4.0,29
fu5f6biOPsvgKYEfPfSZEQ,['Indian'],3.5,120
TlKUPuAnVptyR2x1JHSqfA,"['Indian', 'Pakistani']",3.5,140
P5mFtOSiQmplOj0yVP13PQ,['Indian'],3.5,372
fmH4YbvpYdcpaaYOL1g7wg,['Indian'],3.5,49
kNzjRlXzL5XJInDqNwfMgA,"['Indian', 'Food Trucks']",4.5,3
CN-ZjeSCht_lOcEsuVSfgA,['Indian'],3.5,208
uMCOyB83Et3GAMNi75Tb3w,"['Indian', 'Food Stands', 'Halal']",4.0,1
Tx3pJnxQo00twdxjvjc8Ow,"['Halal', 'Food Stands']",4.5,38
KtYEMI-_zy5hoZTBd3i3Tw,['Indian'],3.5,55
60LpoBux4MKHBLiQJfMbYQ,"['Indian', 'Food Trucks']",4.5,10
nNBYKojg6wD3Ov52Et6Omw,['Indian'],3.0,1
o21M4dKM4KQbzGVrlq_3Iw,['Indian'],3.5,139
pf_84vrm2-Ir0mVwzK8VNw,"['Indian', 'Vegetarian']",3.5,86
wMhJPpAQqmbGhOFErPh4zg,"['Indian', 'Vegetarian']",4.0,51
jvPYm9rYK-5ddnjU30Oz4Q,"['American (New)', 'Vegan', 'Vegetarian']",4.5,276
fKsGFEKMD0e39B7SW-G8xw,"['Halal', 'Food Stands']",4.5,8
NKI1VvfXYluRjnq4S6yEuw,"['Vegan', 'Vegetarian']",4.5,278
j0n_poMVZnODYOFviLbh0Q,"['Vegetarian', 'Sandwiches', 'Falafel']",4.5,1467
xnrn6Ibn4T22vTjYX1H1zQ,"['Halal', 'Afghan']",4.5,30
hswirO2tzhjdopGrjEE3xg,"['Indian', 'Food Stands', 'Pakistani']",4.5,13
phEamT8HRnu-RFFoCbJ5Bg,"['Halal', 'Indian']",4.5,11
xdioStDO8FAyQiZWHJiGZQ,['Indian'],4.0,187
9AL3VA_4H_PMw0GPriIGQw,"['Chinese', 'Indian', 'Seafood']",3.5,32
1HCAu_tB8mzZ0qCFltGfew,"['Indian', 'Buffets']",3.5,222
9eZrG8nANKuoyGSqdj_gew,"['Indian', 'Halal']",4.0,182
uPW_isMEB92IDrX04pLK1g,"['Indian', 'Himalayan/Nepalese']",3.5,301
p7Dj6-OEWfFTP_o_MsJyxw,['Indian'],4.0,1
8soP-zjZsslrb5egCkRDvQ,['Indian'],3.5,143
7rTl_d-dqlK5dGG31ogSBg,"['Indian', 'Thai', 'Chinese']",4.0,318
jt6ygaAb0W_o3nWqbr_UjQ,"['Indian', 'Desserts', 'Seafood']",3.5,43
p0aDcwnhhjnAfn67tEFesg,['Indian'],1.5,5
1F0Msl92xYTctkifFYwVCQ,"['Indian', 'American (New)', 'Halal']",4.0,4
_2XWB0vPqUqkWdQuXfWi2w,['Indian'],3.5,259
J0vr8Jpe9t7UgoybpbgkFQ,['Himalayan/Nepalese'],4.0,74
IbB_7AxWQtDFW1iKnoD1Ug,"['Pakistani', 'Burgers', 'Halal']",4.0,280
7_NCS8bQ8UA_nEANIWm-hQ,"['Halal', 'Indian', 'Wraps']",2.5,42
